vote_count,original_language,popularity,genres,cast,budget,directors
35000,Hindi,231.0,Action Epic,Hrithik Roshan,170,Siddharth Anand
32000,Tamil,230.4,Action Epic,Rajinikanth,132,S. Shankar
29000,Telugu,229.1,Romance,Vijay Deverakonda,5,Other
30000,Hindi,228.0,Romantic,Kangana Ranaut,39,Aanand L. Rai
40000,Hindi,228.0,Action Epic,Salman Khan,75,Kabir Khan
28000,Hindi,226.8,Thriller,Aamir Khan,13,Other
26000,Tamil,223.6,Epic,Kamal Haasan,1,Mani Ratnam
29000,Telugu,223.3,Superhero,Other,40,Other
29000,Telugu,223.3,Action,Other,40,S.S. Rajamouli
29000,Hindi,223.3,Comedy,Other,35,Other
31000,Hindi,223.2,Action,Akshay Kumar,50,A.R. Murugadoss
27000,Malayalam,221.4,Adventure,Other,20,Other
35000,Hindi,220.5,Cop,Salman Khan,42,Other
30000,Hindi,219.0,Comedy,Akshay Kumar,18,Other
28000,Malayalam,218.4,Action,Fahadh Faasil,30,Other
31000,Hindi,217.0,Documentary,Ajay Devgn,105,Other
30000,Hindi,216.0,Tragedy,Hrithik Roshan,35,Sanjay Gupta
43000,Hindi,215.0,Action,Shah Rukh Khan,150,Other
29000,Hindi,214.6,Romantic,Imran Khan,15,Other
37000,Hindi,214.6,Comedy,Other,75,Other
35000,Hindi,213.5,Action,Other,50,Other
26000,Hindi,213.2,Comedy,Other,8,Dibakar Banerjee
26000,Tamil,213.2,Time Travel,Other,35,Venkat Prabhu
25000,Telugu,212.5,Drama,Nani,25,Other
48000,Hindi,211.2,Action Epic,Salman Khan,200,A.R. Murugadoss
27000,Hindi,210.6,Coming-of-Age,Hrithik Roshan,30,Other
27000,Hindi,207.9,Action Epic,Vicky Kaushal,130,Other
31000,Hindi,207.7,Comedy,Kartik Aaryan,60,Other
25000,Malayalam,207.5,Romantic,Nivin Pauly,4,Other
30000,Hindi,207.0,Drama,Other,60,Sriram Raghavan
35000,Hindi,206.5,Action,Salman Khan,210,Ali Abbas Zafar
29000,Hindi,205.9,Action,Other,35,Rakesh Roshan
31000,Hindi,204.6,Heist,Hrithik Roshan,35,Other
40000,Hindi,204.0,Action,Shah Rukh Khan,165,Rohit Shetty
29000,Hindi,203.0,Legal,Akshay Kumar,50,Other
25000,Hindi,202.5,Comedy,Aamir Khan,1,Other
28000,Hindi,201.6,Comedy,Akshay Kumar,45,Other
26000,Hindi,200.2,Drama,Other,32,Mani Ratnam
26000,Telugu,200.2,Action Epic,Ram Charan,44,S.S. Rajamouli
29000,Kannada,200.1,Adventure,Other,95,Other
27000,Hindi,199.8,Action,Varun Dhawan,29,Sriram Raghavan
35000,Hindi,199.5,Horror,Other,80,Anees Bazmee
24000,Malayalam,199.2,Comedy,Dulquer Salmaan,8,Other
26000,Hindi,197.6,Action,Sunny Deol,3,Yash Chopra
26000,Hindi,197.6,Spy,John Abraham,35,Other
26000,Hindi,197.6,History,John Abraham,35,Other
38000,Tamil,197.6,Action Epic,Joseph Vijay,150,Other
27000,Hindi,197.1,Comedy,Naseeruddin Shah,7,Other
25000,Hindi,195.0,Political,Other,20,Other
25000,Tamil,195.0,Time Travel,Suriya,75,Vikram K. Kumar
26000,Hindi,195.0,Horror,Dulquer Salmaan,20,R Balki
23000,Hindi,193.2,Crime,Other,6,Anurag Kashyap
23000,Tamil,193.2,Cop,Other,25,Other
28000,Hindi,193.2,Crime,Hrithik Roshan,58,Other
28000,Hindi,193.2,Romantic,Other,36,Other
26000,Hindi,192.4,Biography,Amitabh Bachchan,35,Other
24000,Tamil,192.0,Action,Dhanush,40,Other
27000,Hindi,191.7,Slapstick,Akshay Kumar,32,Anees Bazmee
23000,Tamil,190.9,Martial Arts,Vikram,38,S. Shankar
25000,Hindi,190.0,Comedy,Sushant Singh Rajput,35,Dibakar Banerjee
24000,Hindi,189.6,Thriller,Other,6,Anurag Kashyap
27000,Hindi,189.0,Drama,Taapsee Pannu,25,Anubhav Sinha
27000,Hindi,189.0,Action,Akshay Kumar,79,Radha Krishna Jagarlamudi
28000,Hindi,187.6,Comedy,Varun Dhawan,60,Other
37000,Hindi,185.0,Comedy,Akshay Kumar,180,Farhad Samji
23000,Hindi,184.0,Comedy,Ajay Devgn,28,Vishal Bhardwaj
30000,Tamil,183.0,Action Epic,Ajith Kumar,200,H. Vinoth
31000,Tamil,182.9,Biography,Kangana Ranaut,100,Other
25000,Telugu,182.5,Action,Allu Arjun,100,Trivikram Srinivas
25000,Tamil,182.5,Cop,Joseph Vijay,75,Atlee
24000,Hindi,182.4,Biography,Other,21,Other
23000,Hindi,181.7,Documentary,Ajay Devgn,235,Other
21000,Hindi,178.5,Comedy,Other,0,Other
27000,Hindi,178.2,Action,Salman Khan,35,Prabhu Deva
24000,Tamil,177.6,Action,Vikram,180,S. Shankar
25000,Hindi,177.5,Comedy,Kartik Aaryan,30,Other
25000,Hindi,177.5,Action,Saif Ali Khan,11,Other
25000,Hindi,177.5,Drama,Other,10,Vivek Agnihotri
23000,Hindi,177.1,Drama,Other,25,Abhishek Kapoor
21000,Tamil,176.4,Action,Dhanush,35,Vetrimaaran
27000,Hindi,175.5,Comedy,Akshay Kumar,100,Other
25000,Hindi,175.0,Romantic,Shah Rukh Khan,13,Yash Chopra
23000,Hindi,174.8,Comedy,Kartik Aaryan,60,Other
23000,Tamil,174.8,Action,Rajinikanth,60,S. Shankar
26000,Tamil,174.2,Action,Joseph Vijay,180,Atlee
29000,Hindi,174.0,Romantic,Ranbir Kapoor,200,Other
29000,Tamil,174.0,Action Epic,Rajinikanth,570,S. Shankar
28000,Hindi,173.6,Drama,Amitabh Bachchan,40,Other
24000,Hindi,172.8,Comedy,Akshay Kumar,75,Other
23000,Hindi,172.5,Comedy,Ranbir Kapoor,30,Other
23000,Hindi,172.5,Comedy,Other,4,Sooraj R. Barjatya
33000,Hindi,171.6,Romance,Prabhas,350,Other
24000,Hindi,170.4,Comedy,Akshay Kumar,21,Vipul Amrutlal Shah
23000,Hindi,170.2,Action Epic,Akshay Kumar,80,Other
20000,Malayalam,170.0,Comedy,Other,6,Other
26000,Hindi,169.0,Superhero,Hrithik Roshan,45,Rakesh Roshan
21000,Hindi,168.0,Biography,Nawazuddin Siddiqui,8,Other
42000,Hindi,168.0,Action,Salman Khan,225,Farhad Samji
22000,Hindi,167.2,Comedy,Rajkummar Rao,9,Other
19000,Tamil,165.3,Drama,Other,5,Other
22000,Hindi,165.0,Comedy,Other,13,Other
61000,Hindi,164.7,Action,Ranveer Singh,50,Ali Abbas Zafar
20000,Telugu,164.0,Drama,Nani,60,Other
31000,Hindi,161.2,Comedy,Shah Rukh Khan,200,Aanand L. Rai
27000,Hindi,159.3,Drama,Ranbir Kapoor,70,Karan Johar
22000,Hindi,158.4,Drama,Other,22,Anubhav Sinha
24000,Hindi,158.4,Thriller,Sidharth Malhotra,45,Mohit Suri
19000,Malayalam,157.7,Drama,Prithviraj Sukumaran,25,Other
25000,Hindi,157.5,Horror,Other,30,Other
23000,Hindi,156.4,Cop,Other,80,Other
23000,Hindi,156.4,Comedy,Akshay Kumar,80,Other
19000,Tamil,155.8,Comedy,Vijay Sethupathi,28,Other
33000,Hindi,155.1,Action,Salman Khan,240,Ali Abbas Zafar
23000,Tamil,154.1,Action,Other,15,A.R. Murugadoss
20000,Hindi,154.0,Biography,Vicky Kaushal,55,Other
22000,Hindi,154.0,Comedy,Rajkummar Rao,45,Other
19000,Hindi,153.9,Legal,Other,18,Other
27000,Hindi,153.9,Action,Hrithik Roshan,140,Siddharth Anand
24000,Hindi,153.6,Thriller,Other,50,Other
20000,Hindi,152.0,Tragedy,Varun Dhawan,35,Other
20000,Hindi,152.0,Comedy,Shah Rukh Khan,1,Other
23000,Hindi,151.8,Heist,Abhishek Bachchan,11,Other
28000,Hindi,151.2,Biography,Deepika Padukone,35,Other
20000,Hindi,150.0,Quest,Sanjay Dutt,22,Indra Kumar
20000,Hindi,150.0,Comedy,Ajay Devgn,15,Rohit Shetty
18000,Hindi,149.4,Crime,Other,2,Ram Gopal Varma
18000,Telugu,149.4,Comedy,Other,8,Other
19000,Malayalam,148.2,Comedy,Other,9,Other
19000,Hindi,148.2,Action,Anil Kapoor,21,S. Shankar
19000,Hindi,148.2,Cop,Ajay Devgn,18,Prakash Jha
20000,Hindi,148.0,Comedy,Ajay Devgn,48,Other
20000,Hindi,148.0,Comedy,Other,16,Sanjay Leela Bhansali
20000,Hindi,148.0,Drama,Hrithik Roshan,60,Sanjay Leela Bhansali
20000,Telugu,148.0,Action,Sivakarthikeyan,40,Other
18000,Tamil,147.6,Action Epic,Sivakarthikeyan,180,Other
18000,Malayalam,147.6,Comedy,Dulquer Salmaan,3,Other
18000,Tamil,147.6,Cop,Karthi,40,H. Vinoth
18000,Tamil,147.6,Crime,Other,2,Other
18000,Hindi,147.6,Biography,Rajkummar Rao,6,Hansal Mehta
18000,Tamil,147.6,Action,Joseph Vijay,8,Other
23000,Hindi,147.2,Romance,Ranveer Singh,85,Sanjay Leela Bhansali
23000,Hindi,147.2,Action,Ayushmann Khurrana,75,Anubhav Sinha
21000,Hindi,147.0,Comedy,Anil Kapoor,83,Other
19000,Hindi,146.3,Comedy,Abhay Deol,13,Dibakar Banerjee
18000,Malayalam,145.8,Drama,Other,10,Other
18000,Hindi,145.8,Drama,Other,5,Nagesh Kukunoor
18000,Hindi,145.8,Biography,Ajay Devgn,20,Rajkumar Santoshi
27000,Hindi,145.8,Comedy,Akshay Kumar,70,Aanand L. Rai
16000,English,145.6,Anime,Other,5,Other
25000,Hindi,145.0,Action,Akshay Kumar,60,Prabhu Deva
21000,Hindi,144.9,Slapstick,Shah Rukh Khan,18,Abbas-Mustan
19000,Hindi,144.4,Road Trip,Irrfan Khan,25,Other
39000,Hindi,144.3,Action Epic,Akshay Kumar,350,Ali Abbas Zafar
24000,Hindi,144.0,Crime,Other,50,Other
32000,Hindi,144.0,Action,Kartik Aaryan,85,Other
27000,Hindi,143.1,Superhero,Hrithik Roshan,115,Rakesh Roshan
27000,Telugu,143.1,Action,Ram Charan,450,S. Shankar
21000,Malayalam,142.8,Action Epic,Other,30,Other
18000,Hindi,142.2,History,Sunny Deol,10,Other
20000,Hindi,142.0,Thriller,Amitabh Bachchan,35,Other
20000,Hindi,142.0,Political,Ajay Devgn,60,Prakash Jha
19000,Hindi,140.6,Action,Shahid Kapoor,35,Vishal Bhardwaj
19000,Hindi,140.6,Crime,Ajay Devgn,35,Milan Luthria
19000,Telugu,140.6,Action,Mahesh Babu,65,Koratala Siva
19000,Hindi,140.6,Crime,Nawazuddin Siddiqui,8,Other
18000,Tamil,140.4,Comedy,Joseph Vijay,55,S. Shankar
23000,Hindi,140.3,Drama,Shah Rukh Khan,48,Karan Johar
29000,Hindi,139.2,Action,Salman Khan,60,Other
18000,Hindi,138.6,Documentary,Other,30,Other
22000,Tamil,138.6,Action,Ajith Kumar,185,Other
23000,Hindi,138.0,Action,Alia Bhatt,90,Other
25000,Hindi,137.5,Comedy,Other,50,Other
18000,Hindi,136.8,Slapstick,Other,6,Priyadarshan
18000,Hindi,136.8,Crime,Amitabh Bachchan,15,Ram Gopal Varma
19000,Hindi,136.8,Comedy,Irrfan Khan,36,Other
19000,Hindi,136.8,Romantic,Ranveer Singh,15,Maneesh Sharma
19000,Tamil,136.8,Action Epic,Vikram,250,Mani Ratnam
19000,Hindi,136.8,Disaster,Akshay Kumar,55,Other
29000,Tamil,136.3,Action,Other,80,Other
17000,Tamil,136.0,Romantic,Other,5,Other
17000,Hindi,136.0,Action,Ajay Devgn,9,Ram Gopal Varma
20000,Hindi,136.0,Cop,Ajay Devgn,41,Rohit Shetty
20000,Telugu,136.0,Action,Other,70,Other
18000,Hindi,135.0,Comedy,Rajkummar Rao,15,Other
25000,Telugu,135.0,Action,Mahesh Babu,200,Trivikram Srinivas
16000,Telugu,134.4,History,Other,25,Other
17000,Tamil,134.3,Romantic,Dhanush,35,Other
23000,Hindi,133.4,Cop,Ajay Devgn,100,Other
18000,Hindi,133.2,Drama,Amitabh Bachchan,10,Other
16000,Telugu,131.2,Action,Mahesh Babu,12,Trivikram Srinivas
17000,Hindi,130.9,Superhero,Anil Kapoor,3,Other
17000,Telugu,130.9,Romantic,Vijay Deverakonda,5,Other
17000,Tamil,130.9,Action,Ajith Kumar,35,Venkat Prabhu
16000,Kannada,129.6,Thriller,Other,2,Other
16000,Hindi,128.0,Crime,Other,8,Anurag Kashyap
16000,Telugu,128.0,Crime,Mahesh Babu,12,Puri Jagannadh
25000,Hindi,127.5,Action Epic,Prabhas,350,Other
23000,Hindi,126.5,Cop,Ranveer Singh,80,Rohit Shetty
16000,Tamil,126.4,Action,Vijay Sethupathi,65,Vetrimaaran
21000,Tamil,126.0,Cop,Ajith Kumar,150,H. Vinoth
17000,Hindi,125.8,Action,Amitabh Bachchan,25,Rajkumar Santoshi
19000,Hindi,125.4,Comedy,Ayushmann Khurrana,35,Other
22000,Tamil,125.4,Action Epic,Joseph Vijay,400,Venkat Prabhu
48000,Hindi,124.8,Martial Arts,Vijay Deverakonda,125,Puri Jagannadh
15000,Tamil,124.5,Drama,Other,5,Other
15000,Marathi,124.5,Drama,Other,4,Other
15000,Hindi,124.5,Comedy,Naseeruddin Shah,1,Other
17000,Hindi,124.1,Serial Killer,Nawazuddin Siddiqui,8,Anurag Kashyap
17000,Hindi,124.1,Comedy,Ayushmann Khurrana,25,Other
19000,Hindi,123.5,Drama,Akshay Kumar,100,Other
15000,Tamil,123.0,Action,Suriya,25,Gautham Vasudev Menon
18000,Hindi,122.4,Romantic,Saif Ali Khan,28,Imtiaz Ali
18000,Hindi,122.4,Comedy,Akshay Kumar,17,Priyadarshan
24000,Hindi,122.4,Romantic,Shah Rukh Khan,90,Imtiaz Ali
26000,Hindi,122.2,Romantic,Vicky Kaushal,80,Other
14000,Oriya,121.8,Adventure,Other,4,Other
16000,Tamil,121.6,Action,Suriya,7,A.R. Murugadoss
16000,Telugu,121.6,Legal,Nani,50,Other
19000,Hindi,121.6,Action Epic,Other,40,Other
15000,Tamil,121.5,Martial Arts,Kamal Haasan,15,S. Shankar
18000,Hindi,120.6,Comedy,Salman Khan,19,David Dhawan
15000,Tamil,120.0,Crime,Kamal Haasan,24,Other
15000,Hindi,120.0,Crime,Sanjay Dutt,7,Other
20000,Telugu,120.0,Action Epic,N.T. Rama Rao Jr.,300,Koratala Siva
14000,Tamil,119.0,Action,Rajinikanth,3,Mani Ratnam
17000,Hindi,119.0,Comedy,Ayushmann Khurrana,30,Other
14000,Tamil,117.6,Drama,Other,35,Other
17000,Hindi,117.3,Action,Hrithik Roshan,10,Rakesh Roshan
17000,Hindi,117.3,Drama,Shah Rukh Khan,10,Other
23000,Hindi,117.3,Action Epic,Sunny Deol,80,Other
16000,Hindi,116.8,Action,Sunny Deol,19,Other
14000,Malayalam,116.2,Disaster,Tovino Thomas,25,Other
14000,Hindi,116.2,Comedy,Other,0,Other
14000,Kannada,116.2,Drama,Other,2,Other
17000,Hindi,115.6,Action,John Abraham,150,Other
17000,Hindi,115.6,Cop,Rajkummar Rao,6,Other
17000,Hindi,115.6,Action,Other,6,Rakesh Roshan
17000,Hindi,115.6,Romantic,Sidharth Malhotra,35,Other
17000,Hindi,115.6,Romantic,Madhavan,17,Aanand L. Rai
16000,Hindi,115.2,Comedy,Kartik Aaryan,22,Other
18000,Hindi,115.2,Romantic,Ranbir Kapoor,35,Rajkumar Santoshi
14000,Tamil,114.8,Comedy,Other,10,Karthik Subbaraj
15000,Hindi,114.0,Drama,Irrfan Khan,36,Nishikant Kamat
17000,Hindi,113.9,Thriller,Anil Kapoor,46,Other
14000,Malayalam,113.4,Adventure,Dulquer Salmaan,13,Other
14000,Tamil,113.4,Political,Other,4,Mani Ratnam
14000,Tamil,113.4,Drama,Other,2,Mani Ratnam
13000,Malayalam,113.1,Horror,Mohanlal,0,Other
15000,Hindi,112.5,Action,Other,15,Other
16000,Malayalam,112.0,Crime,Dulquer Salmaan,35,Other
